id,settore,fornitore,codice,descrizione,collocazione,cespite,quantita,in_uso,unita,prezzo,note
21088,Elettrico-Elettronico,,,"PONTE DIODI DA SALDARE 6A",W1,,10,0,,0.53000,
21087,Elettrico-Elettronico,,,"PONTE DIODI DA SALDARE 5A",W1,,10,0,,0.38000,
21086,Elettrico-Elettronico,,,"PONTE DIODI DA SALDARE 4A",W1,,10,0,,0.38000,
21085,Elettrico-Elettronico,,,"PONTE DIODI DA SALDARE 1,5A",W1,,30,0,,0.38000,
21083,Elettrico-Elettronico,,,"PONTE DIODI CON FASTON 2A",W1,,7,0,,0.38000,
21084,Elettrico-Elettronico,,,"PONTE DIODI CON FASTON 6A",W1,,7,0,,0.38000,
21082,Elettrico-Elettronico,,,"PONTE DIODI CON FASTON 10A",W1,,10,0,,0.53000,
21081,Elettrico-Elettronico,,,"POMPETTA SUCCHIASTAGNO ANTISTATICA MANUALE TIPO VARI IN TASSELLO LEGNO",U0,,18,0,,15.12000,
21080,Elettrico-Elettronico,,,"POMPETTA SUCCHIASTAGNO ANTISTATICA MANUALE TIPO EWIG 323",U1,,25,0,,15.12000,
21079,Elettrico-Elettronico,,,"PLC 24 VCC 6 IN - 4 OUT A RELE ZELIO TIPO TELEMECANIQUE SR1A101BD",P6,,3,0,,107.52000,
21078,Elettrico-Elettronico,,,"PLAFONIERA PER TUBO FLUORESCENTE 2X36 W",I6,,1,0,,34.08000,
21077,Elettrico-Elettronico,,,"PLAFONIERA PER TUBO FLUORESCENTE 1X36 W",I6,,1,0,,27.12000,
21076,Elettrico-Elettronico,,,"PLAFONIERA PER TUBO FLUORESCENTE 1X15 W ENGIM PER ESERCITAZIONI 1°ANNO ",D5,,17,0,,10.32000,
21075,Elettrico-Elettronico,,,"PLACCA PER PULSANTIERA PER CITOFONIA IN ALLUMINIO 1 FILA TIPO URMET 725/55",H2,,6,0,,22.32000,
21074,Elettrico-Elettronico,,,"PLACCA BIANCA PER SERIE 8000 2 MODULO PER SUPPORTO CON GRAFFETTE TIPO VIMAR",D3,,4,0,,4.08000,
21073,Elettrico-Elettronico,,,"PLACCA BIANCA PER SERIE 8000 1 MODULO PER SUPPORTO CON GRAFFETTE TIPO VIMAR",D3,,2,0,,3.84000,
21070,Elettrico-Elettronico,,,"PISTOLA PER SILICONE IN CARTUCCIA",C2,,1,0,,7.68000,
21069,Elettrico-Elettronico,,,"PISTOLA PER SILICONE A CALDO",C2,,1,0,,17.16000,
21068,Elettrico-Elettronico,,,"PIOMBO PER LIVELLE VERTICALI",C2,,3,0,,3.84000,
21067,Elettrico-Elettronico,,,"PINZA PER RIVETTARE VARIABILE IN 3 ? Ø ",B2,,1,0,,19.80000,
21066,Elettrico-Elettronico,,,"PINZA PER PUNTALINI 1 - 6 MM TIPO CEMBRE MANICO ISOLATO VERDE",C2,,6,0,,43.68000,
